

---

 1. Papa Roach                     20 song(s)
 2. P!nk                           17 song(s)
 3. Linkin Park                    15 song(s)
 3. Bon Jovi                       15 song(s)
 4. Imagine Dragons                12 song(s)
 5. Fall Out Boy                   11 song(s)
 6. Kelly Clarkson                 10 song(s)
 6. Black Veil Brides              10 song(s)
 6. Nickelback                     10 song(s)
6. Maroon 5                       10 song(s)
6. Panic! At The Disco            10 song(s)
7. Bruno Mars                     9 song(s)
7. Train                          9 song(s)
7. Lady Gaga                      9 song(s)
7. NOTHING MORE                   9 song(s)
7. In This Moment                 9 song(s)
7. Stryper                        9 song(s)
7. Alex Warren                    9 song(s)
7. Queen                          9 song(s)
7. Coldplay                       8 song(s)
7. Shinedown                      8 song(s)
7. OneRepublic                    8 song(s)
7. Michael Jackson                8 song(s)
7. Prince                         8 song(s)
8. Stone Sour                     7 song(s)
8. Sugarland                      7 song(s)
8. Myles Smith                    7 song(s)
8. Hunter Hayes                   7 song(s)
8. Josh Turner                    7 song(s)
8. Billy Joel                     7 song(s)
9. FLOW                           6 song(s)
9. The Beatles                    6 song(s)
9. Volbeat                        6 song(s)
9. Falling In Reverse             6 song(s)
9. Skillet                        6 song(s)
9. Ed Sheeran                     6 song(s)
9. Benson Boone                   6 song(s)
9. Twenty One Pilots              6 song(s)
9. AC/DC                          6 song(s)
9. Pitbull                        6 song(s)
10. Plain White T's                5 song(s)
10. Noah Kahan                     5 song(s)
10. Journey                        5 song(s)
10. Dua Lipa                       5 song(s)
10. The Script                     5 song(s)
10. BTS                            5 song(s)
10. Red Hot Chili Peppers          5 song(s)
10. Elton John                     5 song(s)
10. Luke Bryan                     5 song(s)
10. Disturbed                      5 song(s)
10. Jason Mraz                     5 song(s)
10. Rise Against                   5 song(s)
10. Forestella                     5 song(s)
10. Shakira                        5 song(s)
10. Tim McGraw                     5 song(s)
Green Day                      4 song(s)
Chicago                        4 song(s)
Paramore                       4 song(s)
B.o.B                          4 song(s)
Lonestar                       4 song(s)
Love and Theft                 4 song(s)
Three Days Grace               4 song(s)
BLACKPINK                      4 song(s)
Five Finger Death Punch        4 song(s)
Teddy Swims                    4 song(s)
Meat Loaf                      4 song(s)
Post Malone                    4 song(s)
Rascal Flatts                  4 song(s)
Blue October                   4 song(s)
Breaking Benjamin              4 song(s)
Lifehouse                      4 song(s)
Linked Horizon                 4 song(s)
Daughtry                       4 song(s)
Eminem                         4 song(s)
John Mellencamp                4 song(s)
My Chemical Romance            4 song(s)
One Direction                  4 song(s)
Meghan Trainor                 4 song(s)
Blue Öyster Cult               3 song(s)
Beartooth                      3 song(s)
Avicii                         3 song(s)
Gretchen Wilson                3 song(s)
Lenny Kravitz                  3 song(s)
Justin Bieber                  3 song(s)
Creedence Clearwater Revival   3 song(s)
Camila Cabello                 3 song(s)
Ozzy Osbourne                  3 song(s)
Sean Kingston                  3 song(s)
Måneskin                       3 song(s)
Cher                           3 song(s)
Mark Ambor                     3 song(s)
Earth, Wind & Fire             3 song(s)
The Score                      3 song(s)
Damiano David                  3 song(s)
Sara Bareilles                 3 song(s)
Evanescence                    3 song(s)
Seether                        3 song(s)
MARINA                         3 song(s)
Ellie Goulding                 3 song(s)
Justin Timberlake              3 song(s)
fun.                           3 song(s)
Sia                            3 song(s)
Buckcherry                     3 song(s)
Calum Scott                    3 song(s)
ABBA                           3 song(s)
The All-American Rejects       3 song(s)
Parker The Bandit              3 song(s)
Forest Blakk                   3 song(s)
Nathan Evans                   3 song(s)
Ryan Mack                      3 song(s)
Flo Rida                       3 song(s)
Beyoncé                        3 song(s)
Sabaton                        3 song(s)
3 Doors Down                   3 song(s)
Matchbox Twenty                3 song(s)
Def Leppard                    3 song(s)
Jelly Roll                     3 song(s)
5 Seconds of Summer            3 song(s)
MAN WITH A MISSION             3 song(s)
The Killers                    3 song(s)
3年E組うた担(渚&茅野&業&磯貝&前原)          3 song(s)
The Offspring                  3 song(s)
Christina Perri                3 song(s)
LiSA                           3 song(s)
Ikimonogakari                  3 song(s)
Shaboozey                      2 song(s)
Lizzo                          2 song(s)
TOTO                           2 song(s)
Dean Lewis                     2 song(s)
Neon Trees                     2 song(s)
Toby Keith                     2 song(s)
Gym Class Heroes               2 song(s)
Dasha                          2 song(s)
MOMOLAND                       2 song(s)
Foo Fighters                   2 song(s)
Udio v1.5                      2 song(s)
VK Blanka                      2 song(s)
Kesha                          2 song(s)
Blake Shelton                  2 song(s)
Aimer                          2 song(s)
Taio Cruz                      2 song(s)
Neil Sedaka                    2 song(s)
Colbie Caillat                 2 song(s)
Majesty                        2 song(s)
Survivor                       2 song(s)
REO Speedwagon                 2 song(s)
Elvis Presley                  2 song(s)
Macklemore                     2 song(s)
Pentatonix                     2 song(s)
Styx                           2 song(s)
Avril Lavigne                  2 song(s)
Nikki Yanofsky                 2 song(s)
Marty Casey                    2 song(s)
John Mayer                     2 song(s)
Magnolia Park                  2 song(s)
The Airborne Toxic Event       2 song(s)
Jessie J                       2 song(s)
Michael Bublé                  2 song(s)
Andy Grammer                   2 song(s)
Fleetwood Mac                  2 song(s)
Dierks Bentley                 2 song(s)
Boyz II Men                    2 song(s)
Depeche Mode                   2 song(s)
Cascada                        2 song(s)
Llunr                          2 song(s)
Backstreet Boys                2 song(s)
Buddy Holly                    2 song(s)
MADKID                         2 song(s)
BURNOUT SYNDROMES              2 song(s)
Alan Walker                    2 song(s)
Tide Lines                     2 song(s)
Rodney Atkins                  2 song(s)
Owl City                       2 song(s)
Sheppard                       2 song(s)
David Bowie                    2 song(s)
Montgomery Gentry              2 song(s)
Phillip Phillips               2 song(s)
The Pretty Reckless            2 song(s)
Rob Thomas                     2 song(s)
Extreme                        2 song(s)
Dio                            2 song(s)
Trace Adkins                   2 song(s)
The Fray                       2 song(s)
Neil Diamond                   2 song(s)
Otherwise                      2 song(s)
David Guetta                   2 song(s)
Gavin DeGraw                   2 song(s)
Taylor Swift                   2 song(s)
Calvin Harris                  2 song(s)
Twisted Sister                 2 song(s)
The Jackson 5                  2 song(s)
Adam Lambert                   2 song(s)
Sum 41                         2 song(s)
mgk                            2 song(s)
Black Sabbath                  2 song(s)
Kevin Kiner                    2 song(s)
R.E.M.                         2 song(s)
Kenshi Yonezu                  2 song(s)
Daryl Hall & John Oates        2 song(s)
Guns N' Roses                  2 song(s)
Geoffrey Oryema                2 song(s)
Morgan Wallen                  2 song(s)
John Denver                    2 song(s)
Sting                          2 song(s)
Vance Joy                      2 song(s)
